Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 0.90, Median Loss: 0.90, Std Loss: 0.90, Mean Reward: -2.66, Median Reward: 0.00, Std Reward: -237.00
Episode: 27, step: 9, Pop: 7/5, Epsilon: 0.90, Mean Loss: 1.74, Median Loss: 1.74, Std Loss: 1.74, Mean Reward: -0.69, Median Reward: 0.00, Std Reward: -54.70
Episode: 28, step: 9, Pop: 6/5, Epsilon: 0.90, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: 2.15, Median Reward: 1.00, Std Reward: 150.40
Episode: 29, step: 9, Pop: 7/5, Epsilon: 0.90, Mean Loss: 1.15, Median Loss: 1.15, Std Loss: 1.15, Mean Reward: -1.28, Median Reward: 0.00, Std Reward: -111.50
Episode: 30, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 1.21, Median Loss: 1.21, Std Loss: 1.21, Mean Reward: 0.15, Median Reward: 0.00, Std Reward: 11.30
Episode: 31, step: 9, Pop: 7/5, Epsilon: 0.89, Mean Loss: 1.64, Median Loss: 1.64, Std Loss: 1.64, Mean Reward: -0.47, Median Reward: 0.00, Std Reward: -39.20
Episode: 32, step: 9, Pop: 8/5, Epsilon: 0.89, Mean Loss: 1.02, Median Loss: 1.02, Std Loss: 1.02, Mean Reward: -0.17, Median Reward: 0.00, Std Reward: -14.20
Episode: 33, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 1.21, Median Loss: 1.21, Std Loss: 1.21, Mean Reward: -2.05, Median Reward: 0.00, Std Reward: -166.30
Episode: 34, step: 9, Pop: 6/5, Epsilon: 0.88, Mean Loss: 1.07, Median Loss: 1.07, Std Loss: 1.07, Mean Reward: -0.65, Median Reward: 0.00, Std Reward: -51.50
Episode: 35, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 0.80, Median Loss: 0.80, Std Loss: 0.80, Mean Reward: -2.86, Median Reward: -5.00, Std Reward: -240.00
Episode: 36, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 0.90, Median Loss: 0.90, Std Loss: 0.90, Mean Reward: 0.74, Median Reward: 2.00, Std Reward: 64.60
Episode: 37, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 1.20, Median Loss: 1.20, Std Loss: 1.20, Mean Reward: -0.75, Median Reward: 0.00, Std Reward: -71.90
Episode: 38, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 1.22, Median Loss: 1.22, Std Loss: 1.22, Mean Reward: -0.26, Median Reward: 0.00, Std Reward: -19.00
Episode: 39, step: 9, Pop: 6/5, Epsilon: 0.86, Mean Loss: 0.75, Median Loss: 0.75, Std Loss: 0.75, Mean Reward: 0.13, Median Reward: 2.00, Std Reward: 9.60
Episode: 40, step: 9, Pop: 6/5, Epsilon: 0.86, Mean Loss: 1.20, Median Loss: 1.20, Std Loss: 1.20, Mean Reward: 1.66, Median Reward: 2.00, Std Reward: 134.40
Episode: 41, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 0.81, Median Loss: 0.81, Std Loss: 0.81, Mean Reward: -3.47, Median Reward: -6.00, Std Reward: -302.00
Episode: 42, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 0.90, Median Loss: 0.90, Std Loss: 0.90, Mean Reward: -1.62, Median Reward: 0.00, Std Reward: -137.80
Episode: 43, step: 9, Pop: 9/5, Epsilon: 0.85, Mean Loss: 0.54, Median Loss: 0.54, Std Loss: 0.54, Mean Reward: -0.62, Median Reward: 0.00, Std Reward: -60.50
Episode: 44, step: 9, Pop: 8/5, Epsilon: 0.85, Mean Loss: 0.96, Median Loss: 0.96, Std Loss: 0.96, Mean Reward: -0.72, Median Reward: 0.00, Std Reward: -63.00
Episode: 45, step: 9, Pop: 6/5, Epsilon: 0.84, Mean Loss: 1.04, Median Loss: 1.04, Std Loss: 1.04, Mean Reward: -0.47, Median Reward: 0.00, Std Reward: -33.30
Episode: 46, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 1.18, Median Loss: 1.18, Std Loss: 1.18, Mean Reward: 0.22, Median Reward: 2.00, Std Reward: 19.10
Episode: 47, step: 9, Pop: 10/5, Epsilon: 0.84, Mean Loss: 0.59, Median Loss: 0.59, Std Loss: 0.59, Mean Reward: -0.96, Median Reward: 0.00, Std Reward: -96.00
Episode: 48, step: 9, Pop: 5/5, Epsilon: 0.83, Mean Loss: 0.64, Median Loss: 0.64, Std Loss: 0.64, Mean Reward: -1.95, Median Reward: 0.00, Std Reward: -136.60
Episode: 49, step: 9, Pop: 5/5, Epsilon: 0.83, Mean Loss: 0.91, Median Loss: 0.91, Std Loss: 0.91, Mean Reward: 0.86, Median Reward: 2.00, Std Reward: 54.40
Episode: 50, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 0.70, Median Loss: 0.70, Std Loss: 0.70, Mean Reward: -1.08, Median Reward: 0.00, Std Reward: -81.00
Episode: 51, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 0.44, Median Loss: 0.44, Std Loss: 0.44, Mean Reward: -1.45, Median Reward: 0.00, Std Reward: -108.80
Episode: 52, step: 9, Pop: 8/5, Epsilon: 0.82, Mean Loss: 0.62, Median Loss: 0.62, Std Loss: 0.62, Mean Reward: -0.11, Median Reward: 0.00, Std Reward: -10.30
Episode: 53, step: 9, Pop: 9/5, Epsilon: 0.82, Mean Loss: 1.28, Median Loss: 1.28, Std Loss: 1.28, Mean Reward: -0.42, Median Reward: 0.00, Std Reward: -42.00
Episode: 54, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 0.90, Median Loss: 0.90, Std Loss: 0.90, Mean Reward: 1.91, Median Reward: 2.00, Std Reward: 169.60
Episode: 55, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 0.70, Median Loss: 0.70, Std Loss: 0.70, Mean Reward: -2.82, Median Reward: -5.30, Std Reward: -242.90
Episode: 56, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 1.32, Median Loss: 1.32, Std Loss: 1.32, Mean Reward: 2.27, Median Reward: 2.00, Std Reward: 201.70
Episode: 57, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 0.88, Median Loss: 0.88, Std Loss: 0.88, Mean Reward: 0.62, Median Reward: 2.00, Std Reward: 50.90
Episode: 58, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 1.14, Median Loss: 1.14, Std Loss: 1.14, Mean Reward: -0.46, Median Reward: 0.00, Std Reward: -41.10
Episode: 59, step: 9, Pop: 7/5, Epsilon: 0.80, Mean Loss: 1.17, Median Loss: 1.17, Std Loss: 1.17, Mean Reward: -0.25, Median Reward: 0.00, Std Reward: -20.70
Episode: 60, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 0.90, Median Loss: 0.90, Std Loss: 0.90, Mean Reward: -0.08, Median Reward: 2.00, Std Reward: -6.70
Episode: 61, step: 9, Pop: 7/5, Epsilon: 0.79, Mean Loss: 1.13, Median Loss: 1.13, Std Loss: 1.13, Mean Reward: 0.31, Median Reward: 0.00, Std Reward: 27.90
Episode: 62, step: 9, Pop: 7/5, Epsilon: 0.79, Mean Loss: 1.37, Median Loss: 1.37, Std Loss: 1.37, Mean Reward: -0.68, Median Reward: 0.00, Std Reward: -54.00
Episode: 63, step: 9, Pop: 7/5, Epsilon: 0.79, Mean Loss: 0.84, Median Loss: 0.84, Std Loss: 0.84, Mean Reward: 0.86, Median Reward: 0.00, Std Reward: 68.80
Episode: 64, step: 9, Pop: 9/5, Epsilon: 0.78, Mean Loss: 1.21, Median Loss: 1.21, Std Loss: 1.21, Mean Reward: -0.34, Median Reward: 2.00, Std Reward: -32.60
Episode: 65, step: 9, Pop: 4/5, Epsilon: 0.78, Mean Loss: 0.95, Median Loss: 0.95, Std Loss: 0.95, Mean Reward: 1.02, Median Reward: 2.00, Std Reward: 73.50
Episode: 66, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 0.81, Median Loss: 0.81, Std Loss: 0.81, Mean Reward: -0.48, Median Reward: -2.50, Std Reward: -45.10
Episode: 67, step: 9, Pop: 8/5, Epsilon: 0.78, Mean Loss: 1.07, Median Loss: 1.07, Std Loss: 1.07, Mean Reward: -1.97, Median Reward: 0.00, Std Reward: -179.20
Episode: 68, step: 9, Pop: 8/5, Epsilon: 0.77, Mean Loss: 1.32, Median Loss: 1.32, Std Loss: 1.32, Mean Reward: -2.44, Median Reward: 0.00, Std Reward: -217.00
Episode: 69, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 0.98, Median Loss: 0.98, Std Loss: 0.98, Mean Reward: -0.73, Median Reward: 1.00, Std Reward: -61.00
Episode: 70, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 1.11, Median Loss: 1.11, Std Loss: 1.11, Mean Reward: 3.21, Median Reward: 4.00, Std Reward: 266.10
Episode: 71, step: 9, Pop: 7/5, Epsilon: 0.76, Mean Loss: 0.69, Median Loss: 0.69, Std Loss: 0.69, Mean Reward: 1.16, Median Reward: 2.00, Std Reward: 98.40
Episode: 72, step: 9, Pop: 5/5, Epsilon: 0.76, Mean Loss: 1.48, Median Loss: 1.48, Std Loss: 1.48, Mean Reward: -0.59, Median Reward: 0.00, Std Reward: -46.00
Episode: 73, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 1.18, Median Loss: 1.18, Std Loss: 1.18, Mean Reward: 0.42, Median Reward: 0.00, Std Reward: 29.60
Episode: 74, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 1.03, Median Loss: 1.03, Std Loss: 1.03, Mean Reward: -0.51, Median Reward: 0.00, Std Reward: -39.50
Episode: 75, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 1.78, Median Loss: 1.78, Std Loss: 1.78, Mean Reward: 0.96, Median Reward: 2.00, Std Reward: 74.70
Episode: 76, step: 9, Pop: 8/5, Epsilon: 0.75, Mean Loss: 1.24, Median Loss: 1.24, Std Loss: 1.24, Mean Reward: 2.02, Median Reward: 2.00, Std Reward: 165.90
Episode: 77, step: 9, Pop: 5/5, Epsilon: 0.75, Mean Loss: 1.11, Median Loss: 1.11, Std Loss: 1.11, Mean Reward: -0.55, Median Reward: 0.00, Std Reward: -36.20
Episode: 78, step: 9, Pop: 6/5, Epsilon: 0.74, Mean Loss: 1.55, Median Loss: 1.55, Std Loss: 1.55, Mean Reward: 0.31, Median Reward: 2.00, Std Reward: 23.80
Episode: 79, step: 9, Pop: 8/5, Epsilon: 0.74, Mean Loss: 1.22, Median Loss: 1.22, Std Loss: 1.22, Mean Reward: 0.79, Median Reward: 2.00, Std Reward: 76.40
Episode: 80, step: 9, Pop: 5/5, Epsilon: 0.74, Mean Loss: 1.14, Median Loss: 1.14, Std Loss: 1.14, Mean Reward: -1.19, Median Reward: 0.00, Std Reward: -80.60
Episode: 81, step: 9, Pop: 9/5, Epsilon: 0.74, Mean Loss: 1.38, Median Loss: 1.38, Std Loss: 1.38, Mean Reward: -0.31, Median Reward: 2.00, Std Reward: -29.70
Episode: 82, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 0.84, Median Loss: 0.84, Std Loss: 0.84, Mean Reward: 0.45, Median Reward: 0.00, Std Reward: 40.90
Episode: 83, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 1.43, Median Loss: 1.43, Std Loss: 1.43, Mean Reward: 0.29, Median Reward: 2.00, Std Reward: 23.80
Episode: 84, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 0.95, Median Loss: 0.95, Std Loss: 0.95, Mean Reward: 0.16, Median Reward: 2.00, Std Reward: 13.00
Episode: 85, step: 9, Pop: 6/5, Epsilon: 0.72, Mean Loss: 1.42, Median Loss: 1.42, Std Loss: 1.42, Mean Reward: -1.36, Median Reward: 0.00, Std Reward: -111.80
Episode: 86, step: 9, Pop: 6/5, Epsilon: 0.72, Mean Loss: 0.73, Median Loss: 0.73, Std Loss: 0.73, Mean Reward: -0.81, Median Reward: 0.00, Std Reward: -60.60
Episode: 87, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: -0.68, Median Reward: 2.00, Std Reward: -63.90
Episode: 88, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: -0.97, Median Reward: 0.00, Std Reward: -83.20
Episode: 89, step: 9, Pop: 7/5, Epsilon: 0.71, Mean Loss: 0.54, Median Loss: 0.54, Std Loss: 0.54, Mean Reward: -0.65, Median Reward: 0.00, Std Reward: -56.90
Episode: 90, step: 9, Pop: 8/5, Epsilon: 0.71, Mean Loss: 0.82, Median Loss: 0.82, Std Loss: 0.82, Mean Reward: 0.20, Median Reward: 0.00, Std Reward: 19.10
Episode: 91, step: 9, Pop: 6/5, Epsilon: 0.71, Mean Loss: 0.99, Median Loss: 0.99, Std Loss: 0.99, Mean Reward: -1.24, Median Reward: 0.00, Std Reward: -105.10
Episode: 92, step: 9, Pop: 8/5, Epsilon: 0.71, Mean Loss: 1.19, Median Loss: 1.19, Std Loss: 1.19, Mean Reward: 1.33, Median Reward: 2.00, Std Reward: 118.60
Episode: 93, step: 9, Pop: 6/5, Epsilon: 0.70, Mean Loss: 1.38, Median Loss: 1.38, Std Loss: 1.38, Mean Reward: -0.43, Median Reward: 0.00, Std Reward: -33.40
Episode: 94, step: 9, Pop: 8/5, Epsilon: 0.70, Mean Loss: 1.32, Median Loss: 1.32, Std Loss: 1.32, Mean Reward: 1.47, Median Reward: 2.00, Std Reward: 124.90
Episode: 95, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: -1.12, Median Reward: 0.00, Std Reward: -97.50
Episode: 96, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 0.83, Median Loss: 0.83, Std Loss: 0.83, Mean Reward: -1.70, Median Reward: 0.00, Std Reward: -142.40
Episode: 97, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 1.40, Median Loss: 1.40, Std Loss: 1.40, Mean Reward: 0.42, Median Reward: 0.00, Std Reward: 32.50
Episode: 98, step: 9, Pop: 8/5, Epsilon: 0.69, Mean Loss: 0.57, Median Loss: 0.57, Std Loss: 0.57, Mean Reward: -0.53, Median Reward: 0.00, Std Reward: -49.20
Episode: 99, step: 9, Pop: 5/5, Epsilon: 0.69, Mean Loss: 1.22, Median Loss: 1.22, Std Loss: 1.22, Mean Reward: -0.64, Median Reward: 0.00, Std Reward: -44.60
Episode: 100, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 0.75, Median Loss: 0.75, Std Loss: 0.75, Mean Reward: -0.17, Median Reward: 1.00, Std Reward: -16.10
Episode: 101, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 1.02, Median Loss: 1.02, Std Loss: 1.02, Mean Reward: -0.20, Median Reward: 0.00, Std Reward: -16.80
Episode: 102, step: 9, Pop: 9/5, Epsilon: 0.68, Mean Loss: 0.85, Median Loss: 0.85, Std Loss: 0.85, Mean Reward: 0.48, Median Reward: 0.00, Std Reward: 43.60
Episode: 103, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: -0.18, Median Reward: 2.00, Std Reward: -14.00
Episode: 104, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 1.13, Median Loss: 1.13, Std Loss: 1.13, Mean Reward: 1.93, Median Reward: 2.00, Std Reward: 167.80
Episode: 105, step: 9, Pop: 7/5, Epsilon: 0.67, Mean Loss: 1.21, Median Loss: 1.21, Std Loss: 1.21, Mean Reward: -1.25, Median Reward: 0.00, Std Reward: -122.30
Episode: 106, step: 9, Pop: 7/5, Epsilon: 0.67, Mean Loss: 1.20, Median Loss: 1.20, Std Loss: 1.20, Mean Reward: 0.34, Median Reward: 0.00, Std Reward: 25.10
Episode: 107, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 0.91, Median Loss: 0.91, Std Loss: 0.91, Mean Reward: -2.88, Median Reward: 0.00, Std Reward: -253.40
Episode: 108, step: 9, Pop: 5/5, Epsilon: 0.66, Mean Loss: 1.17, Median Loss: 1.17, Std Loss: 1.17, Mean Reward: -0.02, Median Reward: 2.00, Std Reward: -1.50
Episode: 109, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 1.30, Median Loss: 1.30, Std Loss: 1.30, Mean Reward: 0.60, Median Reward: 2.00, Std Reward: 49.50
Episode: 110, step: 9, Pop: 6/5, Epsilon: 0.66, Mean Loss: 0.80, Median Loss: 0.80, Std Loss: 0.80, Mean Reward: 2.08, Median Reward: 1.00, Std Reward: 166.30
Episode: 111, step: 9, Pop: 9/5, Epsilon: 0.66, Mean Loss: 1.11, Median Loss: 1.11, Std Loss: 1.11, Mean Reward: 0.98, Median Reward: 2.00, Std Reward: 95.70
Episode: 112, step: 9, Pop: 7/5, Epsilon: 0.65, Mean Loss: 1.11, Median Loss: 1.11, Std Loss: 1.11, Mean Reward: -2.58, Median Reward: 0.00, Std Reward: -232.40
Episode: 113, step: 9, Pop: 6/5, Epsilon: 0.65, Mean Loss: 1.28, Median Loss: 1.28, Std Loss: 1.28, Mean Reward: -1.46, Median Reward: 0.00, Std Reward: -104.00
Episode: 114, step: 9, Pop: 7/5, Epsilon: 0.65, Mean Loss: 0.60, Median Loss: 0.60, Std Loss: 0.60, Mean Reward: -0.93, Median Reward: 0.00, Std Reward: -80.70
Episode: 115, step: 9, Pop: 6/5, Epsilon: 0.65, Mean Loss: 1.08, Median Loss: 1.08, Std Loss: 1.08, Mean Reward: -1.41, Median Reward: 0.00, Std Reward: -111.30
Episode: 116, step: 9, Pop: 9/5, Epsilon: 0.64, Mean Loss: 0.85, Median Loss: 0.85, Std Loss: 0.85, Mean Reward: -1.24, Median Reward: 0.00, Std Reward: -118.60
Episode: 117, step: 9, Pop: 6/5, Epsilon: 0.64, Mean Loss: 0.95, Median Loss: 0.95, Std Loss: 0.95, Mean Reward: -0.76, Median Reward: 0.00, Std Reward: -60.60
Episode: 118, step: 9, Pop: 5/5, Epsilon: 0.64, Mean Loss: 1.16, Median Loss: 1.16, Std Loss: 1.16, Mean Reward: -0.56, Median Reward: 0.00, Std Reward: -40.00
Episode: 119, step: 9, Pop: 8/5, Epsilon: 0.64, Mean Loss: 0.68, Median Loss: 0.68, Std Loss: 0.68, Mean Reward: -0.32, Median Reward: 0.00, Std Reward: -27.20
Episode: 120, step: 9, Pop: 5/5, Epsilon: 0.63, Mean Loss: 1.22, Median Loss: 1.22, Std Loss: 1.22, Mean Reward: 2.46, Median Reward: 2.00, Std Reward: 179.50
Episode: 121, step: 9, Pop: 5/5, Epsilon: 0.63, Mean Loss: 0.89, Median Loss: 0.89, Std Loss: 0.89, Mean Reward: 0.20, Median Reward: 2.00, Std Reward: 15.80
Episode: 122, step: 9, Pop: 6/5, Epsilon: 0.63, Mean Loss: 1.18, Median Loss: 1.18, Std Loss: 1.18, Mean Reward: 0.56, Median Reward: 0.00, Std Reward: 45.00
Episode: 123, step: 9, Pop: 6/5, Epsilon: 0.63, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: -1.21, Median Reward: 0.00, Std Reward: -99.30
Episode: 124, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 0.88, Median Loss: 0.88, Std Loss: 0.88, Mean Reward: 1.43, Median Reward: 2.00, Std Reward: 119.80
Episode: 125, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 0.96, Median Loss: 0.96, Std Loss: 0.96, Mean Reward: -0.70, Median Reward: 0.00, Std Reward: -65.20
Episode: 126, step: 9, Pop: 4/5, Epsilon: 0.62, Mean Loss: 0.81, Median Loss: 0.81, Std Loss: 0.81, Mean Reward: -0.81, Median Reward: 0.00, Std Reward: -44.00
Episode: 127, step: 9, Pop: 5/5, Epsilon: 0.62, Mean Loss: 0.94, Median Loss: 0.94, Std Loss: 0.94, Mean Reward: -2.16, Median Reward: 0.00, Std Reward: -168.20
Episode: 128, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 1.45, Median Loss: 1.45, Std Loss: 1.45, Mean Reward: 2.36, Median Reward: 2.00, Std Reward: 214.80
Episode: 129, step: 9, Pop: 10/5, Epsilon: 0.61, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: 0.75, Median Reward: 2.00, Std Reward: 74.80
Episode: 130, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 0.89, Median Loss: 0.89, Std Loss: 0.89, Mean Reward: -1.00, Median Reward: 0.00, Std Reward: -87.40
Episode: 131, step: 9, Pop: 5/5, Epsilon: 0.61, Mean Loss: 1.05, Median Loss: 1.05, Std Loss: 1.05, Mean Reward: -1.78, Median Reward: 0.00, Std Reward: -139.00
Episode: 132, step: 9, Pop: 6/5, Epsilon: 0.61, Mean Loss: 1.11, Median Loss: 1.11, Std Loss: 1.11, Mean Reward: -1.07, Median Reward: 0.00, Std Reward: -73.00
Episode: 133, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 0.85, Median Loss: 0.85, Std Loss: 0.85, Mean Reward: -2.05, Median Reward: 0.00, Std Reward: -167.80
Episode: 134, step: 9, Pop: 10/5, Epsilon: 0.60, Mean Loss: 1.00, Median Loss: 1.00, Std Loss: 1.00, Mean Reward: 0.37, Median Reward: 2.00, Std Reward: 37.50
Episode: 135, step: 9, Pop: 9/5, Epsilon: 0.60, Mean Loss: 1.07, Median Loss: 1.07, Std Loss: 1.07, Mean Reward: 0.75, Median Reward: 2.00, Std Reward: 71.80
Episode: 136, step: 9, Pop: 8/5, Epsilon: 0.60, Mean Loss: 1.48, Median Loss: 1.48, Std Loss: 1.48, Mean Reward: 0.69, Median Reward: 0.00, Std Reward: 61.00
Episode: 137, step: 9, Pop: 9/5, Epsilon: 0.60, Mean Loss: 1.14, Median Loss: 1.14, Std Loss: 1.14, Mean Reward: 1.13, Median Reward: 2.00, Std Reward: 108.40
Episode: 138, step: 9, Pop: 6/5, Epsilon: 0.59, Mean Loss: 1.05, Median Loss: 1.05, Std Loss: 1.05, Mean Reward: 0.55, Median Reward: 2.00, Std Reward: 39.40
