Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 1.53, Median Loss: 1.53, Std Loss: 1.53, Mean Reward: 3.02, Median Reward: 2.00, Std Reward: 226.70
Episode: 13, step: 9, Pop: 5/5, Epsilon: 0.94, Mean Loss: 0.69, Median Loss: 0.69, Std Loss: 0.69, Mean Reward: -2.91, Median Reward: -6.00, Std Reward: -218.40
Episode: 14, step: 9, Pop: 6/5, Epsilon: 0.94, Mean Loss: 1.14, Median Loss: 1.14, Std Loss: 1.14, Mean Reward: -1.73, Median Reward: -5.10, Std Reward: -121.10
Episode: 15, step: 9, Pop: 9/5, Epsilon: 0.94, Mean Loss: 1.00, Median Loss: 1.00, Std Loss: 1.00, Mean Reward: 1.11, Median Reward: 2.00, Std Reward: 110.00
Episode: 16, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 0.75, Median Loss: 0.75, Std Loss: 0.75, Mean Reward: 0.20, Median Reward: 0.00, Std Reward: 18.00
Episode: 17, step: 9, Pop: 4/5, Epsilon: 0.93, Mean Loss: 0.65, Median Loss: 0.65, Std Loss: 0.65, Mean Reward: -2.14, Median Reward: -6.00, Std Reward: -124.20
Episode: 18, step: 9, Pop: 5/5, Epsilon: 0.92, Mean Loss: 0.65, Median Loss: 0.65, Std Loss: 0.65, Mean Reward: 0.24, Median Reward: 0.00, Std Reward: 16.60
Episode: 19, step: 9, Pop: 8/5, Epsilon: 0.92, Mean Loss: 0.83, Median Loss: 0.83, Std Loss: 0.83, Mean Reward: -0.64, Median Reward: 0.00, Std Reward: -55.00
Episode: 20, step: 9, Pop: 9/5, Epsilon: 0.92, Mean Loss: 0.74, Median Loss: 0.74, Std Loss: 0.74, Mean Reward: 1.50, Median Reward: 2.00, Std Reward: 139.50
Episode: 21, step: 9, Pop: 8/5, Epsilon: 0.91, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: -0.07, Median Reward: 0.00, Std Reward: -6.80
Episode: 22, step: 9, Pop: 7/5, Epsilon: 0.91, Mean Loss: 0.96, Median Loss: 0.96, Std Loss: 0.96, Mean Reward: -2.92, Median Reward: 0.00, Std Reward: -245.60
Episode: 23, step: 9, Pop: 6/5, Epsilon: 0.90, Mean Loss: 0.82, Median Loss: 0.82, Std Loss: 0.82, Mean Reward: -1.13, Median Reward: 0.00, Std Reward: -98.30
Episode: 24, step: 9, Pop: 7/5, Epsilon: 0.90, Mean Loss: 1.52, Median Loss: 1.52, Std Loss: 1.52, Mean Reward: -0.16, Median Reward: 0.00, Std Reward: -14.10
Episode: 25, step: 9, Pop: 8/5, Epsilon: 0.90, Mean Loss: 0.92, Median Loss: 0.92, Std Loss: 0.92, Mean Reward: -1.46, Median Reward: 0.00, Std Reward: -144.30
Episode: 26, step: 9, Pop: 7/5, Epsilon: 0.89, Mean Loss: 0.83, Median Loss: 0.83, Std Loss: 0.83, Mean Reward: 0.28, Median Reward: 0.00, Std Reward: 23.90
Episode: 27, step: 9, Pop: 8/5, Epsilon: 0.89, Mean Loss: 1.11, Median Loss: 1.11, Std Loss: 1.11, Mean Reward: -1.11, Median Reward: 0.00, Std Reward: -98.70
Episode: 28, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 0.73, Median Loss: 0.73, Std Loss: 0.73, Mean Reward: 0.41, Median Reward: 1.00, Std Reward: 31.60
Episode: 29, step: 9, Pop: 6/5, Epsilon: 0.88, Mean Loss: 1.04, Median Loss: 1.04, Std Loss: 1.04, Mean Reward: -0.58, Median Reward: 0.00, Std Reward: -47.10
Episode: 30, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: -0.69, Median Reward: 0.00, Std Reward: -59.00
Episode: 31, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: 1.33, Median Reward: 2.00, Std Reward: 102.70
Episode: 32, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 0.70, Median Loss: 0.70, Std Loss: 0.70, Mean Reward: 0.91, Median Reward: 0.00, Std Reward: 85.90
Episode: 33, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 0.64, Median Loss: 0.64, Std Loss: 0.64, Mean Reward: -1.71, Median Reward: 0.00, Std Reward: -150.10
Episode: 34, step: 9, Pop: 8/5, Epsilon: 0.86, Mean Loss: 0.80, Median Loss: 0.80, Std Loss: 0.80, Mean Reward: 1.23, Median Reward: 0.00, Std Reward: 110.30
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 0.73, Median Loss: 0.73, Std Loss: 0.73, Mean Reward: -0.84, Median Reward: 2.00, Std Reward: -70.10
Episode: 36, step: 9, Pop: 4/5, Epsilon: 0.86, Mean Loss: 1.01, Median Loss: 1.01, Std Loss: 1.01, Mean Reward: -1.12, Median Reward: 0.00, Std Reward: -80.50
Episode: 37, step: 9, Pop: 8/5, Epsilon: 0.85, Mean Loss: 0.55, Median Loss: 0.55, Std Loss: 0.55, Mean Reward: 1.28, Median Reward: 2.00, Std Reward: 119.40
Episode: 38, step: 9, Pop: 7/5, Epsilon: 0.85, Mean Loss: 0.67, Median Loss: 0.67, Std Loss: 0.67, Mean Reward: -0.62, Median Reward: 0.00, Std Reward: -56.10
Episode: 39, step: 9, Pop: 6/5, Epsilon: 0.84, Mean Loss: 0.85, Median Loss: 0.85, Std Loss: 0.85, Mean Reward: 0.38, Median Reward: 2.00, Std Reward: 28.60
Episode: 40, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 1.02, Median Loss: 1.02, Std Loss: 1.02, Mean Reward: -1.32, Median Reward: 0.00, Std Reward: -118.90
Episode: 41, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 0.68, Median Loss: 0.68, Std Loss: 0.68, Mean Reward: -0.42, Median Reward: 2.00, Std Reward: -31.60
Episode: 42, step: 9, Pop: 10/5, Epsilon: 0.83, Mean Loss: 0.82, Median Loss: 0.82, Std Loss: 0.82, Mean Reward: 0.92, Median Reward: 2.00, Std Reward: 91.60
Episode: 43, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 0.75, Median Loss: 0.75, Std Loss: 0.75, Mean Reward: 0.61, Median Reward: 2.00, Std Reward: 42.00
Episode: 44, step: 9, Pop: 9/5, Epsilon: 0.83, Mean Loss: 0.89, Median Loss: 0.89, Std Loss: 0.89, Mean Reward: -2.25, Median Reward: 0.00, Std Reward: -207.00
Episode: 45, step: 9, Pop: 6/5, Epsilon: 0.82, Mean Loss: 0.81, Median Loss: 0.81, Std Loss: 0.81, Mean Reward: 0.05, Median Reward: 0.00, Std Reward: 4.20
Episode: 46, step: 9, Pop: 8/5, Epsilon: 0.82, Mean Loss: 0.74, Median Loss: 0.74, Std Loss: 0.74, Mean Reward: -0.66, Median Reward: 0.00, Std Reward: -63.10
Episode: 47, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: 0.76, Median Reward: 2.00, Std Reward: 68.80
Episode: 48, step: 9, Pop: 8/5, Epsilon: 0.81, Mean Loss: 0.96, Median Loss: 0.96, Std Loss: 0.96, Mean Reward: 0.08, Median Reward: 2.00, Std Reward: 7.00
Episode: 49, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 0.58, Median Loss: 0.58, Std Loss: 0.58, Mean Reward: -1.06, Median Reward: 0.00, Std Reward: -94.10
Episode: 50, step: 9, Pop: 9/5, Epsilon: 0.81, Mean Loss: 0.67, Median Loss: 0.67, Std Loss: 0.67, Mean Reward: 1.88, Median Reward: 2.00, Std Reward: 175.10
Episode: 51, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 0.55, Median Loss: 0.55, Std Loss: 0.55, Mean Reward: 0.35, Median Reward: 0.00, Std Reward: 29.20
Episode: 52, step: 9, Pop: 8/5, Epsilon: 0.80, Mean Loss: 1.22, Median Loss: 1.22, Std Loss: 1.22, Mean Reward: -0.53, Median Reward: 2.00, Std Reward: -47.30
Episode: 53, step: 9, Pop: 6/5, Epsilon: 0.79, Mean Loss: 0.89, Median Loss: 0.89, Std Loss: 0.89, Mean Reward: -1.17, Median Reward: 0.00, Std Reward: -91.10
Episode: 54, step: 9, Pop: 4/5, Epsilon: 0.79, Mean Loss: 0.66, Median Loss: 0.66, Std Loss: 0.66, Mean Reward: -1.62, Median Reward: 0.00, Std Reward: -104.00
Episode: 55, step: 9, Pop: 7/5, Epsilon: 0.79, Mean Loss: 1.08, Median Loss: 1.08, Std Loss: 1.08, Mean Reward: 1.87, Median Reward: 2.00, Std Reward: 166.40
Episode: 56, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 0.61, Median Loss: 0.61, Std Loss: 0.61, Mean Reward: 1.77, Median Reward: 2.00, Std Reward: 122.20
Episode: 57, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 0.89, Median Loss: 0.89, Std Loss: 0.89, Mean Reward: -0.59, Median Reward: 0.00, Std Reward: -41.00
Episode: 58, step: 9, Pop: 9/5, Epsilon: 0.78, Mean Loss: 1.29, Median Loss: 1.29, Std Loss: 1.29, Mean Reward: -0.13, Median Reward: 2.00, Std Reward: -12.10
Episode: 59, step: 9, Pop: 7/5, Epsilon: 0.78, Mean Loss: 0.87, Median Loss: 0.87, Std Loss: 0.87, Mean Reward: -1.38, Median Reward: 0.00, Std Reward: -119.00
Episode: 60, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 0.85, Median Loss: 0.85, Std Loss: 0.85, Mean Reward: -1.42, Median Reward: 0.00, Std Reward: -111.00
Episode: 61, step: 9, Pop: 8/5, Epsilon: 0.77, Mean Loss: 0.78, Median Loss: 0.78, Std Loss: 0.78, Mean Reward: 1.74, Median Reward: 2.00, Std Reward: 159.70
Episode: 62, step: 9, Pop: 8/5, Epsilon: 0.77, Mean Loss: 1.28, Median Loss: 1.28, Std Loss: 1.28, Mean Reward: 1.97, Median Reward: 2.00, Std Reward: 171.30
Episode: 63, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 0.75, Median Loss: 0.75, Std Loss: 0.75, Mean Reward: -1.04, Median Reward: -5.00, Std Reward: -88.00
Episode: 64, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 0.44, Median Loss: 0.44, Std Loss: 0.44, Mean Reward: 0.64, Median Reward: 2.00, Std Reward: 62.50
Episode: 65, step: 9, Pop: 7/5, Epsilon: 0.76, Mean Loss: 0.95, Median Loss: 0.95, Std Loss: 0.95, Mean Reward: 0.71, Median Reward: 2.00, Std Reward: 58.50
Episode: 66, step: 9, Pop: 7/5, Epsilon: 0.75, Mean Loss: 0.68, Median Loss: 0.68, Std Loss: 0.68, Mean Reward: 1.01, Median Reward: 2.00, Std Reward: 88.80
Episode: 67, step: 9, Pop: 5/5, Epsilon: 0.75, Mean Loss: 0.79, Median Loss: 0.79, Std Loss: 0.79, Mean Reward: -1.00, Median Reward: 0.00, Std Reward: -69.00
Episode: 68, step: 9, Pop: 7/5, Epsilon: 0.75, Mean Loss: 0.81, Median Loss: 0.81, Std Loss: 0.81, Mean Reward: 2.14, Median Reward: 2.00, Std Reward: 169.30
Episode: 69, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 0.80, Median Loss: 0.80, Std Loss: 0.80, Mean Reward: -0.57, Median Reward: -5.00, Std Reward: -45.00
Episode: 70, step: 9, Pop: 9/5, Epsilon: 0.74, Mean Loss: 0.70, Median Loss: 0.70, Std Loss: 0.70, Mean Reward: -0.82, Median Reward: 0.00, Std Reward: -75.00
Episode: 71, step: 9, Pop: 5/5, Epsilon: 0.74, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: -1.26, Median Reward: 0.00, Std Reward: -95.80
Episode: 72, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 0.82, Median Loss: 0.82, Std Loss: 0.82, Mean Reward: 2.59, Median Reward: 4.00, Std Reward: 199.30
Episode: 73, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 0.63, Median Loss: 0.63, Std Loss: 0.63, Mean Reward: 0.04, Median Reward: 0.00, Std Reward: 3.70
Episode: 74, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 0.44, Median Loss: 0.44, Std Loss: 0.44, Mean Reward: -0.07, Median Reward: 2.00, Std Reward: -6.30
Episode: 75, step: 9, Pop: 6/5, Epsilon: 0.72, Mean Loss: 0.78, Median Loss: 0.78, Std Loss: 0.78, Mean Reward: -0.34, Median Reward: 0.00, Std Reward: -29.80
Episode: 76, step: 9, Pop: 6/5, Epsilon: 0.72, Mean Loss: 1.17, Median Loss: 1.17, Std Loss: 1.17, Mean Reward: -1.03, Median Reward: 1.00, Std Reward: -86.30
Episode: 77, step: 9, Pop: 8/5, Epsilon: 0.72, Mean Loss: 0.94, Median Loss: 0.94, Std Loss: 0.94, Mean Reward: 2.42, Median Reward: 2.00, Std Reward: 225.10
Episode: 78, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 0.56, Median Loss: 0.56, Std Loss: 0.56, Mean Reward: 2.92, Median Reward: 3.00, Std Reward: 262.70
Episode: 79, step: 9, Pop: 7/5, Epsilon: 0.71, Mean Loss: 0.76, Median Loss: 0.76, Std Loss: 0.76, Mean Reward: 1.79, Median Reward: 2.00, Std Reward: 136.10
Episode: 80, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 1.07, Median Loss: 1.07, Std Loss: 1.07, Mean Reward: 0.13, Median Reward: 0.00, Std Reward: 12.20
Episode: 81, step: 9, Pop: 5/5, Epsilon: 0.71, Mean Loss: 0.96, Median Loss: 0.96, Std Loss: 0.96, Mean Reward: -1.47, Median Reward: 0.00, Std Reward: -100.30
Episode: 82, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 1.04, Median Loss: 1.04, Std Loss: 1.04, Mean Reward: 0.80, Median Reward: 2.00, Std Reward: 67.40
Episode: 83, step: 9, Pop: 4/5, Epsilon: 0.70, Mean Loss: 0.94, Median Loss: 0.94, Std Loss: 0.94, Mean Reward: 0.32, Median Reward: 0.00, Std Reward: 21.20
Episode: 84, step: 9, Pop: 9/5, Epsilon: 0.70, Mean Loss: 1.02, Median Loss: 1.02, Std Loss: 1.02, Mean Reward: 1.95, Median Reward: 2.00, Std Reward: 177.20
Episode: 85, step: 9, Pop: 9/5, Epsilon: 0.69, Mean Loss: 0.80, Median Loss: 0.80, Std Loss: 0.80, Mean Reward: 0.97, Median Reward: 2.00, Std Reward: 87.40
Episode: 86, step: 9, Pop: 8/5, Epsilon: 0.69, Mean Loss: 0.86, Median Loss: 0.86, Std Loss: 0.86, Mean Reward: 1.84, Median Reward: 2.00, Std Reward: 160.00
Episode: 87, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 1.12, Median Loss: 1.12, Std Loss: 1.12, Mean Reward: -0.23, Median Reward: 0.00, Std Reward: -20.20
Episode: 88, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 1.05, Median Loss: 1.05, Std Loss: 1.05, Mean Reward: 0.76, Median Reward: 2.00, Std Reward: 61.10
Episode: 89, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 0.65, Median Loss: 0.65, Std Loss: 0.65, Mean Reward: 1.20, Median Reward: 2.00, Std Reward: 116.60
Episode: 90, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 1.28, Median Loss: 1.28, Std Loss: 1.28, Mean Reward: -0.26, Median Reward: 2.00, Std Reward: -22.90
Episode: 91, step: 9, Pop: 7/5, Epsilon: 0.68, Mean Loss: 0.54, Median Loss: 0.54, Std Loss: 0.54, Mean Reward: 1.45, Median Reward: 2.00, Std Reward: 115.70
Episode: 92, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 0.75, Median Loss: 0.75, Std Loss: 0.75, Mean Reward: -1.45, Median Reward: 0.00, Std Reward: -129.00
Episode: 93, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 0.63, Median Loss: 0.63, Std Loss: 0.63, Mean Reward: 1.02, Median Reward: 2.00, Std Reward: 89.60
Episode: 94, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 0.61, Median Loss: 0.61, Std Loss: 0.61, Mean Reward: 2.46, Median Reward: 2.00, Std Reward: 223.50
Episode: 95, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 0.73, Median Loss: 0.73, Std Loss: 0.73, Mean Reward: 1.25, Median Reward: 2.00, Std Reward: 113.50
Episode: 96, step: 9, Pop: 6/5, Epsilon: 0.66, Mean Loss: 0.36, Median Loss: 0.36, Std Loss: 0.36, Mean Reward: -1.73, Median Reward: 0.00, Std Reward: -137.00
Episode: 97, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 0.48, Median Loss: 0.48, Std Loss: 0.48, Mean Reward: 0.29, Median Reward: 2.00, Std Reward: 25.30
Episode: 98, step: 9, Pop: 7/5, Epsilon: 0.66, Mean Loss: 0.75, Median Loss: 0.75, Std Loss: 0.75, Mean Reward: 0.32, Median Reward: 2.00, Std Reward: 28.50
Episode: 99, step: 9, Pop: 7/5, Epsilon: 0.65, Mean Loss: 0.78, Median Loss: 0.78, Std Loss: 0.78, Mean Reward: 1.45, Median Reward: 2.00, Std Reward: 117.60
Episode: 100, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 1.01, Median Loss: 1.01, Std Loss: 1.01, Mean Reward: -0.90, Median Reward: 0.00, Std Reward: -86.00
Episode: 101, step: 9, Pop: 8/5, Epsilon: 0.65, Mean Loss: 0.77, Median Loss: 0.77, Std Loss: 0.77, Mean Reward: 0.94, Median Reward: 2.00, Std Reward: 85.00
Episode: 102, step: 9, Pop: 8/5, Epsilon: 0.64, Mean Loss: 1.14, Median Loss: 1.14, Std Loss: 1.14, Mean Reward: 3.80, Median Reward: 4.50, Std Reward: 330.60
Episode: 103, step: 9, Pop: 8/5, Epsilon: 0.64, Mean Loss: 1.06, Median Loss: 1.06, Std Loss: 1.06, Mean Reward: 1.76, Median Reward: 2.00, Std Reward: 158.40
Episode: 104, step: 9, Pop: 9/5, Epsilon: 0.64, Mean Loss: 0.97, Median Loss: 0.97, Std Loss: 0.97, Mean Reward: 2.79, Median Reward: 2.00, Std Reward: 262.00
Episode: 105, step: 9, Pop: 5/5, Epsilon: 0.64, Mean Loss: 0.93, Median Loss: 0.93, Std Loss: 0.93, Mean Reward: -1.12, Median Reward: 0.00, Std Reward: -81.00
Episode: 106, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 0.88, Median Loss: 0.88, Std Loss: 0.88, Mean Reward: -0.69, Median Reward: 0.00, Std Reward: -65.00
Episode: 107, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 0.52, Median Loss: 0.52, Std Loss: 0.52, Mean Reward: -1.22, Median Reward: 0.00, Std Reward: -99.10
Episode: 108, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 0.73, Median Loss: 0.73, Std Loss: 0.73, Mean Reward: -0.85, Median Reward: 0.00, Std Reward: -73.40
Episode: 109, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 0.88, Median Loss: 0.88, Std Loss: 0.88, Mean Reward: 0.53, Median Reward: 2.00, Std Reward: 46.90
Episode: 110, step: 9, Pop: 8/5, Epsilon: 0.62, Mean Loss: 0.69, Median Loss: 0.69, Std Loss: 0.69, Mean Reward: 1.81, Median Reward: 2.00, Std Reward: 150.20
Episode: 111, step: 9, Pop: 8/5, Epsilon: 0.62, Mean Loss: 0.56, Median Loss: 0.56, Std Loss: 0.56, Mean Reward: 2.32, Median Reward: 2.00, Std Reward: 208.90
Episode: 112, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 0.82, Median Loss: 0.82, Std Loss: 0.82, Mean Reward: 3.07, Median Reward: 4.00, Std Reward: 282.70
Episode: 113, step: 9, Pop: 9/5, Epsilon: 0.61, Mean Loss: 0.39, Median Loss: 0.39, Std Loss: 0.39, Mean Reward: 2.64, Median Reward: 2.00, Std Reward: 263.90
Episode: 114, step: 9, Pop: 10/5, Epsilon: 0.61, Mean Loss: 0.70, Median Loss: 0.70, Std Loss: 0.70, Mean Reward: 1.25, Median Reward: 2.00, Std Reward: 124.70
Episode: 115, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 0.73, Median Loss: 0.73, Std Loss: 0.73, Mean Reward: -0.08, Median Reward: 2.00, Std Reward: -7.10
Episode: 116, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 0.70, Median Loss: 0.70, Std Loss: 0.70, Mean Reward: 1.63, Median Reward: 2.00, Std Reward: 150.30
Episode: 117, step: 9, Pop: 9/5, Epsilon: 0.60, Mean Loss: 0.95, Median Loss: 0.95, Std Loss: 0.95, Mean Reward: -0.98, Median Reward: 0.00, Std Reward: -94.00
Episode: 118, step: 9, Pop: 8/5, Epsilon: 0.60, Mean Loss: 0.77, Median Loss: 0.77, Std Loss: 0.77, Mean Reward: 1.73, Median Reward: 2.00, Std Reward: 162.40
Episode: 119, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 0.73, Median Loss: 0.73, Std Loss: 0.73, Mean Reward: 1.18, Median Reward: 2.00, Std Reward: 93.30
Episode: 120, step: 9, Pop: 9/5, Epsilon: 0.60, Mean Loss: 0.46, Median Loss: 0.46, Std Loss: 0.46, Mean Reward: 0.64, Median Reward: 2.00, Std Reward: 61.80
Episode: 121, step: 9, Pop: 8/5, Epsilon: 0.59, Mean Loss: 1.17, Median Loss: 1.17, Std Loss: 1.17, Mean Reward: 0.14, Median Reward: 0.00, Std Reward: 12.20
Episode: 122, step: 9, Pop: 7/5, Epsilon: 0.59, Mean Loss: 0.62, Median Loss: 0.62, Std Loss: 0.62, Mean Reward: -0.02, Median Reward: 2.00, Std Reward: -2.00
Episode: 123, step: 9, Pop: 8/5, Epsilon: 0.59, Mean Loss: 0.72, Median Loss: 0.72, Std Loss: 0.72, Mean Reward: 1.97, Median Reward: 2.00, Std Reward: 175.20
Episode: 124, step: 9, Pop: 6/5, Epsilon: 0.59, Mean Loss: 0.71, Median Loss: 0.71, Std Loss: 0.71, Mean Reward: 0.64, Median Reward: 0.00, Std Reward: 49.90
Episode: 125, step: 9, Pop: 5/5, Epsilon: 0.58, Mean Loss: 0.71, Median Loss: 0.71, Std Loss: 0.71, Mean Reward: -1.78, Median Reward: 0.00, Std Reward: -140.70
Episode: 126, step: 9, Pop: 6/5, Epsilon: 0.58, Mean Loss: 0.66, Median Loss: 0.66, Std Loss: 0.66, Mean Reward: 2.41, Median Reward: 2.00, Std Reward: 185.70
Episode: 127, step: 9, Pop: 7/5, Epsilon: 0.58, Mean Loss: 0.99, Median Loss: 0.99, Std Loss: 0.99, Mean Reward: -0.61, Median Reward: 0.00, Std Reward: -47.20
Episode: 128, step: 9, Pop: 7/5, Epsilon: 0.58, Mean Loss: 1.23, Median Loss: 1.23, Std Loss: 1.23, Mean Reward: 0.34, Median Reward: 2.00, Std Reward: 28.90
Episode: 129, step: 9, Pop: 7/5, Epsilon: 0.57, Mean Loss: 0.51, Median Loss: 0.51, Std Loss: 0.51, Mean Reward: 2.50, Median Reward: 2.00, Std Reward: 214.80
Episode: 130, step: 9, Pop: 7/5, Epsilon: 0.57, Mean Loss: 0.90, Median Loss: 0.90, Std Loss: 0.90, Mean Reward: 0.26, Median Reward: 0.00, Std Reward: 23.70
Episode: 131, step: 9, Pop: 9/5, Epsilon: 0.57, Mean Loss: 0.55, Median Loss: 0.55, Std Loss: 0.55, Mean Reward: -0.31, Median Reward: 2.00, Std Reward: -29.90
Episode: 132, step: 9, Pop: 4/5, Epsilon: 0.57, Mean Loss: 0.71, Median Loss: 0.71, Std Loss: 0.71, Mean Reward: 0.86, Median Reward: 0.00, Std Reward: 59.20
Episode: 133, step: 9, Pop: 5/5, Epsilon: 0.56, Mean Loss: 1.19, Median Loss: 1.19, Std Loss: 1.19, Mean Reward: -0.60, Median Reward: 0.00, Std Reward: -44.00
Episode: 134, step: 9, Pop: 10/5, Epsilon: 0.56, Mean Loss: 0.78, Median Loss: 0.78, Std Loss: 0.78, Mean Reward: 1.95, Median Reward: 2.00, Std Reward: 195.40
Episode: 135, step: 9, Pop: 7/5, Epsilon: 0.56, Mean Loss: 0.72, Median Loss: 0.72, Std Loss: 0.72, Mean Reward: 1.04, Median Reward: 2.00, Std Reward: 90.70
Episode: 136, step: 9, Pop: 8/5, Epsilon: 0.56, Mean Loss: 0.82, Median Loss: 0.82, Std Loss: 0.82, Mean Reward: -0.48, Median Reward: 0.00, Std Reward: -42.90
Episode: 137, step: 9, Pop: 6/5, Epsilon: 0.55, Mean Loss: 1.12, Median Loss: 1.12, Std Loss: 1.12, Mean Reward: 0.85, Median Reward: 2.00, Std Reward: 63.00
Episode: 138, step: 9, Pop: 9/5, Epsilon: 0.55, Mean Loss: 0.69, Median Loss: 0.69, Std Loss: 0.69, Mean Reward: 1.13, Median Reward: 2.00, Std Reward: 101.70
